source_status,pulled_at_local,delivery_window_since,delivery_window_until,account_alias,account_name,customer_id,object_level,object_id,current_name,parent_campaign_id,parent_campaign_name,parent_ad_group_id,parent_ad_group_name,configured_status,campaign_status,channel_type,channel_sub_type,bidding_strategy_type,ad_group_type,ad_type,final_urls,spend,impressions,clicks,conversions,all_conversions,proposed_gads_name,proposed_key,naming_status,notes
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23557258708,Sunny Side | LSM | Conversion,23557258708,Sunny Side | LSM | Conversion,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,309.62,2239,138,12.226518,29.515323,CEFA | LSM | Enrollment | Surrey - Sunnyside | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-surrey-sunnyside-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,23234507996,capilano | lsm | kws,23234507996,capilano | lsm | kws,,,PAUSED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,,,,150.83,2402,74,7.968989,28.468989,CEFA | LSM | Enrollment | Capilano | GOOGLE | SEARCH | LEADS | BOF | Enrollment | 202604 | 001,cefa-lsm-enrollment-capilano-google-search-leads-bof-enrollment-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,campaign,14995905347,corp | search | branded | cefa | always on,14995905347,corp | search | branded | cefa | always on,,,PAUSED,PAUSED,SEARCH,,TARGET_IMPRESSION_SHARE,,,,98.96,122,33,6,24.933894,CEFA | CORP | Brand | All Locations | GOOGLE | SEARCH | LEADS | BOF | Brand | 202604 | 001,cefa-corp-brand-all-locations-google-search-leads-bof-brand-202604-001,proposed,
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,201609984188,Daycare,23547539661,Kelowna Spall | LSM | Conversions,201609984188,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,1383.24,6192,282,21.979897,90.762859,Parent Search | Daycare | Kelowna Spall | Mixed,parent-search-daycare-kelowna-spall-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,191866578383,CEFA Early Learning,23547477117,Surrey Panorama | LSM | Conversion,191866578383,CEFA Early Learning,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,1260.86,7687,433,31.708039,147.772392,Parent Search | Early Learning | South Surrey - Panorama | Mixed,parent-search-early-learning-south-surrey-panorama-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,130489998463,oak daycare | parents 1-5 yrs_daycare+ | ollo,15778154097,oakville | lsm | kw,130489998463,oak daycare | parents 1-5 yrs_daycare+ | ollo,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,856.88,4625,318,26.969829,117.99729,Parent Search | Daycare | Oakville | Mixed,parent-search-daycare-oakville-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,184663564478,Daycare,22450573429,chilliwack | LSM | kws,184663564478,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,680.49,1629,86,1,19.998017,Parent Search | Daycare | Chilliwack | Mixed,parent-search-daycare-chilliwack-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,137514177580,Daycare,17290399592,burlington | lsm | kw,137514177580,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,475.41,3281,230,18.483705,101.937732,Parent Search | Daycare | Burlington | Mixed,parent-search-daycare-burlington-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,183831481396,Preschool,22450573429,chilliwack | LSM | kws,183831481396,Preschool,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,473.96,1206,60,3.977247,19.974338,Parent Search | Preschool | Chilliwack | Mixed,parent-search-preschool-chilliwack-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,132731209638,oak childcare | parents 1-5 yrs_daycare+ | ollo,15778154097,oakville | lsm | kw,132731209638,oak childcare | parents 1-5 yrs_daycare+ | ollo,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,390.08,2533,140,14.004242,67.766968,Parent Search | Daycare | Oakville | Mixed,parent-search-daycare-oakville-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,178859836920,Preschool - Montessori | BROAD,22341251503,Park Royal | LSM | KW,178859836920,Preschool - Montessori | BROAD,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,388.99,2472,140,17.307911,60.742095,Parent Search | Preschool | Park Royal | Broad,parent-search-preschool-park-royal-broad,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,131052614319,oak preschool | parents 1-5 yrs_daycare+ | ollo,15778154097,oakville | lsm | kw,131052614319,oak preschool | parents 1-5 yrs_daycare+ | ollo,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,384.92,2324,134,16.456474,51.841012,Parent Search | Daycare | Oakville | Mixed,parent-search-daycare-oakville-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,178346477656,Daycare,22434718934,white rock | LSM | keywords,178346477656,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,375.48,1353,35,3,20,Parent Search | Daycare | White Rock | Mixed,parent-search-daycare-white-rock-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,168380722768,Daycare,21319600288,markham | LSM | kws,168380722768,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,362.71,2585,143,12.333334,51.652152,Parent Search | Daycare | Markham | Mixed,parent-search-daycare-markham-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,176947301712,Preschool - Early Childhood | Broad,22331077914,Lions Gate | LSM | KW,176947301712,Preschool - Early Childhood | Broad,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,314.57,2680,119,7.655329,41.056295,Parent Search | Preschool | Lions Gate | Broad,parent-search-preschool-lions-gate-broad,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,183416601029,Daycare,22884384921,richmond south | LSM | keywords,183416601029,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,310.90,2327,144,20.723897,74.542533,Parent Search | Daycare | Richmond South | Mixed,parent-search-daycare-richmond-south-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,198793984288,daycare,23557258708,Sunny Side | LSM | Conversion,198793984288,daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,309.62,2239,138,12.226518,29.515323,Parent Search | Daycare | Surrey - Sunnyside | Mixed,parent-search-daycare-surrey-sunnyside-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,186285726465,SKAG | daycare near me | BROAD,21319600288,markham | LSM | kws,186285726465,SKAG | daycare near me | BROAD,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,308.98,3136,127,11,42.051702,Parent Search | Daycare Near Me | Markham | Broad,parent-search-daycare-near-me-markham-broad,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,183830039276,Childcare,22450573429,chilliwack | LSM | kws,183830039276,Childcare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,280.48,1108,53,0,16.987877,Parent Search | Childcare | Chilliwack | Mixed,parent-search-childcare-chilliwack-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,184833666372,Daycare,22555521837,beltline | LSM | KW,184833666372,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,269.14,2369,81,7.96432,45.493675,Parent Search | Daycare | Calgary Beltline | Mixed,parent-search-daycare-calgary-beltline-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,162384612163,Early Learning,21319600288,markham | LSM | kws,162384612163,Early Learning,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,245.20,1921,105,4.166666,26.333332,Parent Search | Early Learning | Markham | Mixed,parent-search-early-learning-markham-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,179466531055,Childcare,22517347425,meadowvale | LSM | kws,179466531055,Childcare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,242.63,2825,106,3.966529,29.62203,Parent Search | Childcare | Meadowvale | Mixed,parent-search-childcare-meadowvale-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,196679148682,Childcare,23732999189,campbell heights | LSM | Keywords,196679148682,Childcare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,218.54,606,25,1.5,8.5,Parent Search | Childcare | Campbell Heights | Mixed,parent-search-childcare-campbell-heights-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,184833666412,Preschool,22555521837,beltline | LSM | KW,184833666412,Preschool,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,197.66,1090,71,7.988338,38.976892,Parent Search | Preschool | Calgary Beltline | Mixed,parent-search-preschool-calgary-beltline-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,196679148882,Early Education,23732999189,campbell heights | LSM | Keywords,196679148882,Early Education,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,196.01,423,16,0,3,Parent Search | Early Education | Campbell Heights | Mixed,parent-search-early-education-campbell-heights-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,178179895361,Competitors,21319600288,markham | LSM | kws,178179895361,Competitors,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,192.74,1326,86,8.973415,33.974776,Parent Search | Competitor | Markham | Mixed,parent-search-competitor-markham-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,179466531255,Daycare,22517347425,meadowvale | LSM | kws,179466531255,Daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,166.20,1678,72,7,21.970788,Parent Search | Daycare | Meadowvale | Mixed,parent-search-daycare-meadowvale-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,196679148642,daycare,23732999189,campbell heights | LSM | Keywords,196679148642,daycare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,166.06,659,19,0.5,4.5,Parent Search | Daycare | Campbell Heights | Mixed,parent-search-daycare-campbell-heights-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,140637880710,Childcare,17290399592,burlington | lsm | kw,140637880710,Childcare,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,133.23,1459,97,6.986528,51.655289,Parent Search | Childcare | Burlington | Mixed,parent-search-childcare-burlington-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,184833666652,Early Education,22555521837,beltline | LSM | KW,184833666652,Early Education,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,129.78,986,47,3.983705,17.409088,Parent Search | Early Education | Calgary Beltline | Mixed,parent-search-early-education-calgary-beltline-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,134584364609,oak early education | parents 1-5 yrs_daycare+ | ollo,15778154097,oakville | lsm | kw,134584364609,oak early education | parents 1-5 yrs_daycare+ | ollo,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,126.30,1079,52,2.993473,13.993473,Parent Search | Daycare | Oakville | Mixed,parent-search-daycare-oakville-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,135526560606,Early Learning,17290399592,burlington | lsm | kw,135526560606,Early Learning,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSIONS,SEARCH_STANDARD,,,108.70,831,53,5.984802,24.971325,Parent Search | Early Learning | Burlington | Mixed,parent-search-early-learning-burlington-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,183890834101,SKAG | daycare | BROAD,22331077914,Lions Gate | LSM | KW,183890834101,SKAG | daycare | BROAD,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,104.23,1474,47,2.993473,24.993473,Parent Search | Daycare | Lions Gate | Broad,parent-search-daycare-lions-gate-broad,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,134287144491,branded keywords | observation | all gender | all ages,14995905347,corp | search | branded | cefa | always on,134287144491,branded keywords | observation | all gender | all ages,ENABLED,PAUSED,SEARCH,,TARGET_IMPRESSION_SHARE,SEARCH_STANDARD,,,98.96,122,33,6,24.933894,Parent Search | Brand | All Locations | Mixed,parent-search-brand-all-locations-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
Verified live Google Ads API read; proposed names are Partial/inferred,2026-05-04 PDT,2026-04-05,2026-05-04,parent,CEFA $3000,4159217891,ad_group,183416601349,Junior kindergarten,22884384921,richmond south | LSM | keywords,183416601349,Junior kindergarten,ENABLED,PAUSED,SEARCH,,MAXIMIZE_CONVERSION_VALUE,SEARCH_STANDARD,,,97.91,798,32,3,9.408018,Parent Search | Junior Kindergarten | Richmond South | Mixed,parent-search-junior-kindergarten-richmond-south-mixed,proposed,ad group naming inferred from current keyword theme; verify before live rename
