source_status,pulled_at_local,delivery_window_since,delivery_window_until,account_alias,account_name,account_id,object_level,object_id,current_name,parent_campaign_id,parent_campaign_name,parent_adset_id,parent_adset_name,configured_status,effective_status,objective_or_optimization_goal,spend,impressions,clicks,proposed_nc2_name,proposed_key,naming_status,notes
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120240250086310400,Victoria Heights | LSM | prospecting | lifetime,120240250086310400,Victoria Heights | LSM | prospecting | lifetime,,,ACTIVE,ACTIVE,LEADS,12465.84,927642,5103,CEFA | LSM | Enrollment | Victoria Heights | META | LEADS | BOF | Enrollment | 202512 | 001,cefa-lsm-enrollment-victoria-heights-meta-leads-bof-enrollment-202512-001,proposed,current campaign name is non-standard; location/objective inferred
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120241753836290400,CEFA | Campbell Heights | LSM | META | LEADS | BOF | Enrollment | ALL | 20260106 | 001,120241753836290400,CEFA | Campbell Heights | LSM | META | LEADS | BOF | Enrollment | ALL | 20260106 | 001,,,PAUSED,PAUSED,LEADS,2276.31,207584,1837,CEFA | LSM | Enrollment | Campbell Heights | META | LEADS | BOF | Enrollment | 202601 | 001,cefa-lsm-enrollment-campbell-heights-meta-leads-bof-enrollment-202601-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120241756046080400,CEFA | South Surrey - Panorama | LSM | META | LEADS | BOF | Enrollment | ALL | 20260106 | 001,120241756046080400,CEFA | South Surrey - Panorama | LSM | META | LEADS | BOF | Enrollment | ALL | 20260106 | 001,,,PAUSED,PAUSED,LEADS,1383.4,105559,717,CEFA | LSM | Enrollment | South Surrey - Panorama | META | LEADS | BOF | Enrollment | 202601 | 001,cefa-lsm-enrollment-south-surrey-panorama-meta-leads-bof-enrollment-202601-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120242037801340400,CEFA | Surrey - Sunny Side | LSM | META | LEADS | BOF | Enrollment | ALL,120242037801340400,CEFA | Surrey - Sunny Side | LSM | META | LEADS | BOF | Enrollment | ALL,,,PAUSED,PAUSED,LEADS,1392.04,112655,697,CEFA | LSM | Enrollment | Surrey - Sunnyside | META | LEADS | BOF | Enrollment | 202601 | 001,cefa-lsm-enrollment-surrey-sunnyside-meta-leads-bof-enrollment-202601-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120242283263490400,CEFA | Kelowna - Spall | LSM | META | LEADS | BOF | Enrollment | ALL,120242283263490400,CEFA | Kelowna - Spall | LSM | META | LEADS | BOF | Enrollment | ALL,,,PAUSED,PAUSED,LEADS,1498.85,139432,912,CEFA | LSM | Enrollment | Kelowna - Spall | META | LEADS | BOF | Enrollment | 202601 | 001,cefa-lsm-enrollment-kelowna-spall-meta-leads-bof-enrollment-202601-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,campaign,120242924010580400,CEFA | Meadowvale | LSM | META | Traffic | Open House |,120242924010580400,CEFA | Meadowvale | LSM | META | Traffic | Open House |,,,PAUSED,PAUSED,TRAFFIC,477.68,101556,824,CEFA | LSM | OpenHouse | Meadowvale | META | TRAFFIC | MOF | OpenHouse | 202602 | 001,cefa-lsm-openhouse-meadowvale-meta-traffic-mof-openhouse-202602-001,proposed,
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120222886468110400,all locations | broad interest + lookalike | 30 - 45,120222886468440400,CEFA | All Locations | CORP | META | AWARENESS | TOF | Evergreen | Established,120222886468110400,all locations | broad interest + lookalike | 30 - 45,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,2476.63,232457,1083,Prospective Parents | Lookalike | All Locations | Advantage+,prospective-parents-lookalike-all-locations-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120228936681030400,chilliwack | broad - parents | 20 km,120228936681010400,CEFA | Chilliwack | LSM | META | LEADS | BOF | Enrollment,120228936681030400,chilliwack | broad - parents | 20 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,151.61,15330,99,Prospective Parents | Broad | Chilliwack 20km | Advantage+,prospective-parents-broad-chilliwack-20km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120229052675670400,markham | broad | 22- 50,120229052675680400,CEFA | Markham | LSM | META | LEADS | BOF | Enrollment,120229052675670400,markham | broad | 22- 50,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,966.13,74196,1179,Prospective Parents | Broad | Markham | Advantage+,prospective-parents-broad-markham-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120229052675870400,markham | lal: inquiry submits | 30 - 45,120229052675680400,CEFA | Markham | LSM | META | LEADS | BOF | Enrollment,120229052675870400,markham | lal: inquiry submits | 30 - 45,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,533.37,40268,568,Prospective Parents | Lookalike | Markham | Advantage+,prospective-parents-lookalike-markham-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120230564571030400,cornerstone | LSM | weekend program | early learning,120230564571010400,CEFA | Cornerstone | LSM | META | LEADS | BOF | Enrollment,120230564571030400,cornerstone | LSM | weekend program | early learning,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1077.99,91501,1055,Prospective Parents | Interest | Cornerstone | Advantage+,prospective-parents-interest-cornerstone-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120230794740230400,meadowvale | lookalike | 15 km,120230794740250400,CEFA | Meadowvale | LSM | META | LEADS | BOF | Enrollment,120230794740230400,meadowvale | lookalike | 15 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,433.71,29009,243,Prospective Parents | Lookalike | Meadowvale 15km | Advantage+,prospective-parents-lookalike-meadowvale-15km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120231322379900400,oakville | interests: rich parents | 10 km,120231322379890400,CEFA | Oakville | LSM | META | LEADS | BOF | Enrollment,120231322379900400,oakville | interests: rich parents | 10 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,415.41,28555,322,Prospective Parents | Interest | Oakville 10km | Advantage+,prospective-parents-interest-oakville-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120231322545580400,burlington | interests: rich parents | 10 km,120231322545590400,CEFA | Burlington | LSM | META | LEADS | BOF | Enrollment | 20260201 | 001,120231322545580400,burlington | interests: rich parents | 10 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1999.51,155275,1956,Prospective Parents | Interest | Burlington 10km | Advantage+,prospective-parents-interest-burlington-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120231838861640400,whiterock | interests: parents | 10 km,120231838861630400,CEFA | White Rock | LSM | META | LEADS | BOF | Enrollment,120231838861640400,whiterock | interests: parents | 10 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,2256.33,225419,1375,Prospective Parents | Interest | White Rock 10km | Advantage+,prospective-parents-interest-white-rock-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120231989497940400,whiterock | interests: montessori + early learning | 10 km,120231838861630400,CEFA | White Rock | LSM | META | LEADS | BOF | Enrollment,120231989497940400,whiterock | interests: montessori + early learning | 10 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,210.04,24432,147,Prospective Parents | Interest | White Rock 10km | Advantage+,prospective-parents-interest-white-rock-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120234323061320400,chilliwack | interest - preschool | 20 km,120228936681010400,CEFA | Chilliwack | LSM | META | LEADS | BOF | Enrollment,120234323061320400,chilliwack | interest - preschool | 20 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1086.89,109055,499,Prospective Parents | Interest | Chilliwack 20km | Advantage+,prospective-parents-interest-chilliwack-20km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120236310703560400,capilano | Lookalike | Website Visitors 1% | 10 km,120236310703570400,capilano | LSM | conversion | daily,120236310703560400,capilano | Lookalike | Website Visitors 1% | 10 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,2069.66,223572,1001,Prospective Parents | Retargeting | Capilano 10km | Advantage+,prospective-parents-retargeting-capilano-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120236311204280400,lions gate | website: 180 days | 25 - 45,120236311204240400,lions gate | LSM | conversions | daily,120236311204280400,lions gate | website: 180 days | 25 - 45,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,616.2,57734,456,Prospective Parents | Retargeting | Lions Gate | Advantage+,prospective-parents-retargeting-lions-gate-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120236311204300400,lions gate | lal: inquiry submit | 25 - 45,120236311204240400,lions gate | LSM | conversions | daily,120236311204300400,lions gate | lal: inquiry submit | 25 - 45,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1066.45,118243,1108,Prospective Parents | Lookalike | Lions Gate | Advantage+,prospective-parents-lookalike-lions-gate-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120236379018300400,"park royal | interests: child, day care | 25 - 45 | 10 mi",120236379018370400,park royal | LSM | prospecting | daily,120236379018300400,"park royal | interests: child, day care | 25 - 45 | 10 mi",ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1294.81,162355,838,Prospective Parents | Interest | Park Royal | Advantage+,prospective-parents-interest-park-royal-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120236379018480400,park royal | lookalike: inquiry submit | 25 - 45 | Piinpoint Locations,120236379018370400,park royal | LSM | prospecting | daily,120236379018480400,park royal | lookalike: inquiry submit | 25 - 45 | Piinpoint Locations,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,410.23,51818,261,Prospective Parents | Lookalike | Park Royal | Advantage+,prospective-parents-lookalike-park-royal-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120236442533470400,richmond south | broad  - parents | 25 - 45,120236442533480400,CEFA | Richmond South | LSM | META | LEADS | BOF | Enrollment,120236442533470400,richmond south | broad  - parents | 25 - 45,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,795.72,81230,733,Prospective Parents | Interest | Richmond South | Advantage+,prospective-parents-interest-richmond-south-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120237091770000400,richmond south | rich -parents | 25 - 45,120236442533480400,CEFA | Richmond South | LSM | META | LEADS | BOF | Enrollment,120237091770000400,richmond south | rich -parents | 25 - 45,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1569.25,144747,1012,Prospective Parents | Interest | Richmond South | Advantage+,prospective-parents-interest-richmond-south-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120237093231440400,oakville | lookalike | 10 km,120231322379890400,CEFA | Oakville | LSM | META | LEADS | BOF | Enrollment,120237093231440400,oakville | lookalike | 10 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,572.57,49008,560,Prospective Parents | Lookalike | Oakville 10km | Advantage+,prospective-parents-lookalike-oakville-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120237094260580400,meadowvale | early learning + montessori | 15 km,120230794740250400,CEFA | Meadowvale | LSM | META | LEADS | BOF | Enrollment,120237094260580400,meadowvale | early learning + montessori | 15 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1315.83,95047,936,Prospective Parents | Interest | Meadowvale 15km | Advantage+,prospective-parents-interest-meadowvale-15km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120237167874450400,beltline | lookalike | 10 km | 4+ age,120230793807800400,beltline | LSM | conversions (updated),120237167874450400,beltline | lookalike | 10 km | 4+ age,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1989.4,158643,1878,Prospective Parents | Lookalike | Calgary Beltline 10km | Advantage+,prospective-parents-lookalike-calgary-beltline-10km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120237266318380400,chilliwack | re-targeting | 20 km,120228936681010400,CEFA | Chilliwack | LSM | META | LEADS | BOF | Enrollment,120237266318380400,chilliwack | re-targeting | 20 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,254.94,33405,185,Prospective Parents | Retargeting | Chilliwack 20km | Advantage+,prospective-parents-retargeting-chilliwack-20km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120238607766360400,canada locations | audience: shopify + inquiry submit FB/IG,120219786218160400,CEFA | All Locations | CORP | META | ENGAGEMENT | TOF | Boost,120238607766360400,canada locations | audience: shopify + inquiry submit FB/IG,ACTIVE,CAMPAIGN_PAUSED,PROFILE_VISIT,2461.98,338803,12554,Prospective Parents | Custom + Lookalike | Canada Locations | Advantage+,prospective-parents-custom-lookalike-canada-locations-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120238943021720400,cornerstone | LSM | weekend program | school readiness,120230564571010400,CEFA | Cornerstone | LSM | META | LEADS | BOF | Enrollment,120238943021720400,cornerstone | LSM | weekend program | school readiness,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,421.43,36196,366,Prospective Parents | Program Interest | Cornerstone | Advantage+,prospective-parents-program-interest-cornerstone-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120239408164450400,Lookalike | Calgary_Northland | +25 km,120239408164440400,Northland | LSM | OUTCOME_LEADS,120239408164450400,Lookalike | Calgary_Northland | +25 km,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,1417.33,108869,1064,Prospective Parents | Lookalike | Calgary Northland 25km | Advantage+,prospective-parents-lookalike-calgary-northland-25km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120240250086330400,Victoria Heights | LSM | broad | 23km,120240250086310400,Victoria Heights | LSM | prospecting | lifetime,120240250086330400,Victoria Heights | LSM | broad | 23km,PAUSED,PAUSED,OFFSITE_CONVERSIONS,12465.84,927642,5103,Prospective Parents | Broad | Victoria Heights 23km | Advantage+,prospective-parents-broad-victoria-heights-23km-advantage,proposed,ad set audience/geo inferred from current name
Verified live Meta API read; proposed names are Partial/inferred,2026-05-04 17:11 PDT,2026-04-05,2026-05-04,parent,CEFA Early Learning,act_1595846967472729,ad_set,120241753836300400,Prospective Parents | Broad | Campbell Heights | Auto,120241753836290400,CEFA | Campbell Heights | LSM | META | LEADS | BOF | Enrollment | ALL | 20260106 | 001,120241753836300400,Prospective Parents | Broad | Campbell Heights | Auto,ACTIVE,CAMPAIGN_PAUSED,OFFSITE_CONVERSIONS,2276.31,207584,1837,Prospective Parents | Broad | Campbell Heights | Advantage+,prospective-parents-broad-campbell-heights-advantage,proposed,ad set audience/geo inferred from current name
